id,Name,Year,Percent of graduates with debt,Average debt of graduates,Per capita debt of graduates,Full-time freshmen who received any student loans (#),% of full-time freshmen who received any student loans,Average amount of student loans received by full-time freshmen who borrowed,Tuition and fees (in-district/in-state),Graduation rate (within 150% of normal time),Origin of data
699,Nebraska - Public,2013-14,0.61,24599,14925,6176,0.47,5342,5623,0.46,CollegeInSight_Explore_NM.csv
700,Nebraska - Public,2012-13,0.59,24130,14281,6378,0.5,5259,5397,0.45,CollegeInSight_Explore_NM.csv
701,Nebraska - Public,2011-12,0.61,23982,14566,6859,0.53,5129,5185,0.45,CollegeInSight_Explore_NM.csv
702,Nebraska - Public,2010-11,0.6,22222,13313,6448,0.49,4676,4916,0.47,CollegeInSight_Explore_NM.csv
703,Nebraska - Public,2009-10,0.56,17677,9929,6673,0.51,4722,4670,0.47,CollegeInSight_Explore_NM.csv
704,Nebraska - Total,2016-17,0.54,25750,13905,,,,11085,,CollegeInSight_Explore_NM.csv
705,Nebraska - Total,2015-16,0.61,26585,16217,8817,0.53,5929,10987,0.52,CollegeInSight_Explore_NM.csv
706,Nebraska - Total,2014-15,0.6,26235,15746,8754,0.52,6031,10286,0.5,CollegeInSight_Explore_NM.csv
707,Nebraska - Total,2013-14,0.63,26278,16497,9206,0.54,6021,9932,0.5,CollegeInSight_Explore_NM.csv
708,Nebraska - Total,2012-13,0.62,26490,16361,9315,0.56,5928,9528,0.49,CollegeInSight_Explore_NM.csv
709,Nebraska - Total,2011-12,0.63,26473,16807,9661,0.57,5706,9137,0.48,CollegeInSight_Explore_NM.csv
710,Nebraska - Total,2010-11,0.63,24287,15368,9494,0.55,5431,8802,0.5,CollegeInSight_Explore_NM.csv
711,Nebraska - Total,2009-10,0.62,21227,13167,10604,0.57,6209,8463,0.51,CollegeInSight_Explore_NM.csv
712,"Nevada - Private, for-profit",2016-17,,,,,,,17796,,CollegeInSight_Explore_SD.csv
713,"Nevada - Private, for-profit",2015-16,,,,4785,0.76,7072,16964,0.59,CollegeInSight_Explore_SD.csv
714,"Nevada - Private, for-profit",2014-15,,,,4601,0.77,7054,16207,0.57,CollegeInSight_Explore_SD.csv
715,"Nevada - Private, for-profit",2013-14,,,,4837,0.77,7552,14325,0.54,CollegeInSight_Explore_SD.csv
716,"Nevada - Private, for-profit",2012-13,,,,4715,0.72,7033,14027,0.57,CollegeInSight_Explore_SD.csv
717,"Nevada - Private, for-profit",2011-12,,,,5159,0.81,7078,15546,0.58,CollegeInSight_Explore_SD.csv
718,"Nevada - Private, for-profit",2010-11,,,,5754,0.79,7389,16433,0.55,CollegeInSight_Explore_SD.csv
719,"Nevada - Private, for-profit",2009-10,,,,7845,0.8,7581,19414,0.56,CollegeInSight_Explore_SD.csv
720,"Nevada - Private, nonprofit",2016-17,,,,,,,29505,,CollegeInSight_Explore_SD.csv
721,"Nevada - Private, nonprofit",2015-16,,,,236,0.93,8024,26822,0.47,CollegeInSight_Explore_SD.csv
722,"Nevada - Private, nonprofit",2014-15,,,,187,0.93,6597,29159,0.54,CollegeInSight_Explore_SD.csv
723,"Nevada - Private, nonprofit",2013-14,,,,110,0.84,6196,28483,0.36,CollegeInSight_Explore_SD.csv
724,"Nevada - Private, nonprofit",2012-13,0.5,26368,13184,100,0.82,7290,27654,0.71,CollegeInSight_Explore_SD.csv
725,"Nevada - Private, nonprofit",2011-12,,,,180,0.83,7641,25370,0.46,CollegeInSight_Explore_SD.csv
726,"Nevada - Private, nonprofit",2010-11,,,,187,0.85,5590,24515,0.39,CollegeInSight_Explore_SD.csv
727,"Nevada - Private, nonprofit",2009-10,,,,194,0.84,6817,23258,0.51,CollegeInSight_Explore_SD.csv
728,Nevada - Public,2016-17,0.49,22064,10812,,,,5801,,CollegeInSight_Explore_SD.csv
729,Nevada - Public,2015-16,0.52,24128,12547,3258,0.3,5618,5697,0.35,CollegeInSight_Explore_SD.csv
730,Nevada - Public,2014-15,0.47,23462,11133,3301,0.31,5977,5388,0.34,CollegeInSight_Explore_SD.csv
731,Nevada - Public,2013-14,0.46,20217,9300,3215,0.33,6762,5437,0.35,CollegeInSight_Explore_SD.csv
732,Nevada - Public,2012-13,0.43,21575,9258,2762,0.3,7122,5262,0.35,CollegeInSight_Explore_SD.csv
733,Nevada - Public,2011-12,0.4,20442,8261,3974,0.46,6423,4792,0.35,CollegeInSight_Explore_SD.csv
734,Nevada - Public,2010-11,0.44,20037,8792,3638,0.39,5578,4362,0.36,CollegeInSight_Explore_SD.csv
735,Nevada - Public,2009-10,0.38,16672,6409,2420,0.25,5685,3699,0.35,CollegeInSight_Explore_SD.csv
736,Nevada - Total,2016-17,0.49,22064,10812,,,,6267,,CollegeInSight_Explore_SD.csv
737,Nevada - Total,2015-16,0.52,24128,12547,8279,0.48,6527,6285,0.45,CollegeInSight_Explore_SD.csv
738,Nevada - Total,2014-15,0.47,23462,11133,8089,0.48,6604,6130,0.44,CollegeInSight_Explore_SD.csv
739,Nevada - Total,2013-14,0.46,20217,9300,8162,0.51,7222,6367,0.43,CollegeInSight_Explore_SD.csv
740,Nevada - Total,2012-13,0.43,21665,9321,7577,0.48,7069,6240,0.45,CollegeInSight_Explore_SD.csv
741,Nevada - Total,2011-12,0.41,20568,8343,9313,0.61,6809,5933,0.46,CollegeInSight_Explore_SD.csv
742,Nevada - Total,2010-11,0.44,19954,8794,9579,0.57,6666,5706,0.45,CollegeInSight_Explore_SD.csv
743,Nevada - Total,2009-10,0.39,16622,6403,10459,0.53,7128,5304,0.44,CollegeInSight_Explore_SD.csv
744,"New Hampshire - Private, for-profit",2016-17,,,,,,,,,CollegeInSight_Explore_NM.csv
745,"New Hampshire - Private, for-profit",2015-16,,,,528,0.66,6829,15630,0.71,CollegeInSight_Explore_NM.csv
746,"New Hampshire - Private, for-profit",2014-15,,,,686,0.66,7009,13845,0.28,CollegeInSight_Explore_NM.csv
747,"New Hampshire - Private, for-profit",2013-14,,,,906,0.72,7175,12395,0.47,CollegeInSight_Explore_NM.csv
748,"New Hampshire - Private, for-profit",2012-13,,,,1061,0.66,6795,13156,0.48,CollegeInSight_Explore_NM.csv
749,"New Hampshire - Private, for-profit",2011-12,,,,1133,0.72,6484,13114,0.52,CollegeInSight_Explore_NM.csv
750,"New Hampshire - Private, for-profit",2010-11,,,,1580,0.65,6564,14918,0.52,CollegeInSight_Explore_NM.csv
751,"New Hampshire - Private, for-profit",2009-10,,,,2363,0.75,7041,17520,0.41,CollegeInSight_Explore_NM.csv
752,"New Hampshire - Private, nonprofit",2016-17,0.66,32057,21158,,,,36923,,CollegeInSight_Explore_NM.csv
753,"New Hampshire - Private, nonprofit",2015-16,0.64,30797,19710,3650,0.62,7877,35392,0.68,CollegeInSight_Explore_NM.csv
754,"New Hampshire - Private, nonprofit",2014-15,0.72,35704,25736,3624,0.71,8144,35375,0.66,CollegeInSight_Explore_NM.csv
755,"New Hampshire - Private, nonprofit",2013-14,0.63,28293,17774,3329,0.73,8387,35021,0.65,CollegeInSight_Explore_NM.csv
756,"New Hampshire - Private, nonprofit",2012-13,0.68,28779,19568,3102,0.73,8412,34198,0.68,CollegeInSight_Explore_NM.csv
757,"New Hampshire - Private, nonprofit",2011-12,0.61,29926,18240,2798,0.69,8615,32766,0.69,CollegeInSight_Explore_NM.csv
758,"New Hampshire - Private, nonprofit",2010-11,0.68,32570,21986,2920,0.7,9571,31281,0.66,CollegeInSight_Explore_NM.csv
759,"New Hampshire - Private, nonprofit",2009-10,0.65,30863,20036,2582,0.71,7485,30646,0.67,CollegeInSight_Explore_NM.csv
760,New Hampshire - Public,2016-17,0.79,35657,28169,,,,13476,,CollegeInSight_Explore_NM.csv
761,New Hampshire - Public,2015-16,0.8,39108,31287,5236,0.71,8769,13306,0.56,CollegeInSight_Explore_NM.csv
762,New Hampshire - Public,2014-15,0.8,36503,29356,5400,0.74,8241,12845,0.56,CollegeInSight_Explore_NM.csv
763,New Hampshire - Public,2013-14,0.81,35044,28541,5275,0.74,8209,12667,0.55,CollegeInSight_Explore_NM.csv
764,New Hampshire - Public,2012-13,0.79,34170,26944,5404,0.74,7932,12684,0.54,CollegeInSight_Explore_NM.csv
765,New Hampshire - Public,2011-12,0.8,33578,26699,5568,0.75,7417,11879,0.56,CollegeInSight_Explore_NM.csv
766,New Hampshire - Public,2010-11,0.79,32385,25558,5589,0.73,6864,10362,0.56,CollegeInSight_Explore_NM.csv
767,New Hampshire - Public,2009-10,0.77,31111,24110,5222,0.69,6956,9762,0.54,CollegeInSight_Explore_NM.csv
768,New Hampshire - Total,2016-17,0.74,34415,25467,,,,23668,,CollegeInSight_Explore_NM.csv
769,New Hampshire - Total,2015-16,0.74,36367,26912,9414,0.67,8314,23010,0.61,CollegeInSight_Explore_NM.csv
770,New Hampshire - Total,2014-15,0.76,36101,27435,9710,0.72,8118,21912,0.55,CollegeInSight_Explore_NM.csv
771,New Hampshire - Total,2013-14,0.76,33410,25388,9510,0.74,8173,21128,0.57,CollegeInSight_Explore_NM.csv
772,New Hampshire - Total,2012-13,0.76,32795,24847,9567,0.73,7961,20408,0.57,CollegeInSight_Explore_NM.csv
773,New Hampshire - Total,2011-12,0.74,32698,24220,9499,0.73,7659,19221,0.59,CollegeInSight_Explore_NM.csv
774,New Hampshire - Total,2010-11,0.75,32440,24391,10089,0.71,7600,17522,0.58,CollegeInSight_Explore_NM.csv
775,New Hampshire - Total,2009-10,0.74,31048,22925,10167,0.71,7110,16659,0.56,CollegeInSight_Explore_NM.csv
776,"New Mexico - Private, for-profit",2016-17,,,,,,,31843,,CollegeInSight_Explore_NM.csv
777,"New Mexico - Private, for-profit",2015-16,,,,2698,0.77,7836,25882,0.57,CollegeInSight_Explore_NM.csv
778,"New Mexico - Private, for-profit",2014-15,,,,2957,0.77,7943,22159,0.53,CollegeInSight_Explore_NM.csv
779,"New Mexico - Private, for-profit",2013-14,,,,3089,0.75,8320,20774,0.51,CollegeInSight_Explore_NM.csv
780,"New Mexico - Private, for-profit",2012-13,,,,3403,0.79,8133,17929,0.54,CollegeInSight_Explore_NM.csv
781,"New Mexico - Private, for-profit",2011-12,,,,4194,0.79,7988,17417,0.54,CollegeInSight_Explore_NM.csv
782,"New Mexico - Private, for-profit",2010-11,,,,4860,0.8,7945,15531,0.54,CollegeInSight_Explore_NM.csv
783,"New Mexico - Private, for-profit",2009-10,,,,4992,0.68,8516,11938,0.58,CollegeInSight_Explore_NM.csv
784,"New Mexico - Private, nonprofit",2016-17,0.77,26990,20782,,,,30016,,CollegeInSight_Explore_NM.csv
785,"New Mexico - Private, nonprofit",2015-16,0.71,27790,19731,106,0.65,4245,30848,0.37,CollegeInSight_Explore_NM.csv
786,"New Mexico - Private, nonprofit",2014-15,0.76,26195,19908,88,0.62,4354,34808,0.33,CollegeInSight_Explore_NM.csv
787,"New Mexico - Private, nonprofit",2013-14,0.8,25570,20456,110,0.84,5118,34559,0.35,CollegeInSight_Explore_NM.csv
788,"New Mexico - Private, nonprofit",2012-13,0.77,25256,19447,101,0.69,6396,34424,0.42,CollegeInSight_Explore_NM.csv
789,"New Mexico - Private, nonprofit",2011-12,0.68,28563,19423,134,0.79,6224,31106,0.48,CollegeInSight_Explore_NM.csv
790,"New Mexico - Private, nonprofit",2010-11,0.7,25084,17488,142,0.82,5669,33548,0.39,CollegeInSight_Explore_NM.csv
791,"New Mexico - Private, nonprofit",2009-10,,,,127,0.71,5738,33409,0.6,CollegeInSight_Explore_NM.csv
792,New Mexico - Public,2016-17,0.53,20830,11040,,,,4117,,CollegeInSight_Explore_NM.csv
793,New Mexico - Public,2015-16,0.55,21155,11635,3278,0.25,4674,4034,0.3,CollegeInSight_Explore_NM.csv
794,New Mexico - Public,2014-15,0.57,20004,11459,4022,0.3,5099,3911,0.28,CollegeInSight_Explore_NM.csv
795,New Mexico - Public,2013-14,0.48,18794,8929,3923,0.26,4995,3751,0.28,CollegeInSight_Explore_NM.csv
796,New Mexico - Public,2012-13,0.54,18473,9909,4565,0.29,4873,3530,0.26,CollegeInSight_Explore_NM.csv
797,New Mexico - Public,2011-12,0.61,17722,10776,5448,0.35,5045,3332,0.26,CollegeInSight_Explore_NM.csv
798,New Mexico - Public,2010-11,,,,4349,0.28,5069,3249,0.27,CollegeInSight_Explore_NM.csv
799,New Mexico - Public,2009-10,0.56,16298,9087,4249,0.26,4967,3018,0.28,CollegeInSight_Explore_NM.csv
800,New Mexico - Total,2016-17,0.54,21237,11468,,,,4825,,CollegeInSight_Explore_NM.csv
801,New Mexico - Total,2015-16,0.55,21373,11755,6082,0.36,6069,4891,0.35,CollegeInSight_Explore_NM.csv
802,New Mexico - Total,2014-15,0.58,20193,11655,7067,0.41,6280,4835,0.33,CollegeInSight_Explore_NM.csv
803,New Mexico - Total,2013-14,0.48,18969,9108,7122,0.37,6439,4573,0.32,CollegeInSight_Explore_NM.csv
804,New Mexico - Total,2012-13,0.54,18656,10090,8069,0.4,6267,4330,0.32,CollegeInSight_Explore_NM.csv
805,New Mexico - Total,2011-12,0.61,17994,10971,9776,0.47,6324,4140,0.33,CollegeInSight_Explore_NM.csv
806,New Mexico - Total,2010-11,,,,9351,0.43,6573,3991,0.34,CollegeInSight_Explore_NM.csv
807,New Mexico - Total,2009-10,0.56,16413,9211,9368,0.4,6869,3704,0.35,CollegeInSight_Explore_NM.csv
808,"New York - Private, for-profit",2016-17,,,,,,,18659,,CollegeInSight_Explore_SD.csv
809,"New York - Private, for-profit",2015-16,,,,12987,0.65,7094,17883,0.62,CollegeInSight_Explore_SD.csv
810,"New York - Private, for-profit",2014-15,,,,15947,0.66,6809,17254,0.6,CollegeInSight_Explore_SD.csv
811,"New York - Private, for-profit",2013-14,,,,17549,0.69,6954,16747,0.6,CollegeInSight_Explore_SD.csv
812,"New York - Private, for-profit",2012-13,,,,18329,0.7,6682,16131,0.59,CollegeInSight_Explore_SD.csv
813,"New York - Private, for-profit",2011-12,,,,23561,0.72,6911,15863,0.58,CollegeInSight_Explore_SD.csv
814,"New York - Private, for-profit",2010-11,,,,26135,0.68,6848,15698,0.58,CollegeInSight_Explore_SD.csv
815,"New York - Private, for-profit",2009-10,,,,27900,0.71,6382,15352,0.58,CollegeInSight_Explore_SD.csv
816,"New York - Private, nonprofit",2016-17,0.63,33569,21149,,,,39769,,CollegeInSight_Explore_SD.csv
817,"New York - Private, nonprofit",2015-16,0.58,32688,18959,36878,0.53,8096,38371,0.69,CollegeInSight_Explore_SD.csv
818,"New York - Private, nonprofit",2014-15,0.66,32854,21650,36990,0.54,7934,37065,0.68,CollegeInSight_Explore_SD.csv
819,"New York - Private, nonprofit",2013-14,0.67,30268,20272,37920,0.54,8067,35514,0.68,CollegeInSight_Explore_SD.csv
820,"New York - Private, nonprofit",2012-13,0.65,30371,19668,39068,0.55,7798,33885,0.67,CollegeInSight_Explore_SD.csv
821,"New York - Private, nonprofit",2011-12,0.65,30228,19773,41479,0.58,7403,32346,0.67,CollegeInSight_Explore_SD.csv
822,"New York - Private, nonprofit",2010-11,0.66,30015,19764,42031,0.59,6936,30922,0.66,CollegeInSight_Explore_SD.csv
823,"New York - Private, nonprofit",2009-10,0.67,29737,19970,41349,0.59,7278,29704,0.67,CollegeInSight_Explore_SD.csv
824,New York - Public,2016-17,0.54,26380,14245,,,,6436,,CollegeInSight_Explore_SD.csv
825,New York - Public,2015-16,0.58,25997,15078,36377,0.34,6033,6253,0.4,CollegeInSight_Explore_SD.csv
826,New York - Public,2014-15,0.52,24307,12671,37860,0.35,5848,5939,0.38,CollegeInSight_Explore_SD.csv
827,New York - Public,2013-14,0.54,23774,12876,37194,0.34,5950,5642,0.37,CollegeInSight_Explore_SD.csv
828,New York - Public,2012-13,0.55,21720,12019,38133,0.35,5760,5346,0.36,CollegeInSight_Explore_SD.csv
829,New York - Public,2011-12,0.55,20875,11448,41581,0.37,5398,5048,0.36,CollegeInSight_Explore_SD.csv
830,New York - Public,2010-11,0.54,20561,11043,41386,0.37,5170,4682,0.36,CollegeInSight_Explore_SD.csv
831,New York - Public,2009-10,0.55,21706,11890,43319,0.38,5018,4610,0.35,CollegeInSight_Explore_SD.csv
832,New York - Total,2016-17,0.6,30931,18558,,,,19676,,CollegeInSight_Explore_SD.csv
833,New York - Total,2015-16,0.58,30346,17601,86242,0.44,7075,18801,0.52,CollegeInSight_Explore_SD.csv
834,New York - Total,2014-15,0.59,29320,17419,90797,0.45,6867,17919,0.51,CollegeInSight_Explore_SD.csv
835,New York - Total,2013-14,0.61,27822,17109,92663,0.46,7006,17173,0.5,CollegeInSight_Explore_SD.csv
836,New York - Total,2012-13,0.6,26371,15831,95530,0.47,6770,16368,0.49,CollegeInSight_Explore_SD.csv
837,New York - Total,2011-12,0.6,25686,15364,106621,0.5,6512,15560,0.49,CollegeInSight_Explore_SD.csv
838,New York - Total,2010-11,0.6,25764,15400,109552,0.49,6248,14762,0.49,CollegeInSight_Explore_SD.csv
839,New York - Total,2009-10,0.61,26360,16166,112568,0.5,6186,14049,0.49,CollegeInSight_Explore_SD.csv
840,"North Carolina - Private, for-profit",2016-17,,,,,,,12032,,CollegeInSight_Explore_NM.csv
841,"North Carolina - Private, for-profit",2015-16,,,,3271,0.81,9565,13026,0.53,CollegeInSight_Explore_NM.csv
842,"North Carolina - Private, for-profit",2014-15,,,,3906,0.8,9173,13509,0.51,CollegeInSight_Explore_NM.csv
843,"North Carolina - Private, for-profit",2013-14,,,,4656,0.78,9320,13824,0.52,CollegeInSight_Explore_NM.csv
844,"North Carolina - Private, for-profit",2012-13,,,,4296,0.78,9425,13649,0.57,CollegeInSight_Explore_NM.csv
845,"North Carolina - Private, for-profit",2011-12,,,,4547,0.8,8785,14092,0.57,CollegeInSight_Explore_NM.csv
846,"North Carolina - Private, for-profit",2010-11,,,,5030,0.8,8089,15183,0.55,CollegeInSight_Explore_NM.csv
847,"North Carolina - Private, for-profit",2009-10,,,,6304,0.83,9017,17024,0.58,CollegeInSight_Explore_NM.csv
848,"North Carolina - Private, nonprofit",2016-17,0.49,29837,14620,,,,32391,,CollegeInSight_Explore_NM.csv
849,"North Carolina - Private, nonprofit",2015-16,0.51,27929,14244,10888,0.62,7422,31373,0.58,CollegeInSight_Explore_NM.csv
850,"North Carolina - Private, nonprofit",2014-15,0.59,28838,17157,10904,0.63,8218,30307,0.58,CollegeInSight_Explore_NM.csv
851,"North Carolina - Private, nonprofit",2013-14,0.6,28012,16725,10607,0.63,7654,29202,0.58,CollegeInSight_Explore_NM.csv
852,"North Carolina - Private, nonprofit",2012-13,0.62,27051,16682,10672,0.63,7461,27972,0.58,CollegeInSight_Explore_NM.csv
853,"North Carolina - Private, nonprofit",2011-12,0.6,27024,16224,11330,0.66,6907,26807,0.56,CollegeInSight_Explore_NM.csv
854,"North Carolina - Private, nonprofit",2010-11,0.63,25094,15859,11577,0.67,6671,25539,0.58,CollegeInSight_Explore_NM.csv
855,"North Carolina - Private, nonprofit",2009-10,0.6,25267,15046,10457,0.64,7402,24625,0.57,CollegeInSight_Explore_NM.csv
856,North Carolina - Public,2016-17,0.61,25575,15601,,,,5460,,CollegeInSight_Explore_NM.csv
857,North Carolina - Public,2015-16,0.6,24810,14886,20370,0.39,6214,5216,0.45,CollegeInSight_Explore_NM.csv
858,North Carolina - Public,2014-15,0.63,24816,15523,21313,0.39,6293,4938,0.44,CollegeInSight_Explore_NM.csv
859,North Carolina - Public,2013-14,0.62,24415,15053,22210,0.4,6152,4747,0.43,CollegeInSight_Explore_NM.csv
860,North Carolina - Public,2012-13,0.61,23440,14362,23022,0.41,5996,4493,0.42,CollegeInSight_Explore_NM.csv
861,North Carolina - Public,2011-12,0.59,22779,13415,22468,0.41,5628,4193,0.42,CollegeInSight_Explore_NM.csv
862,North Carolina - Public,2010-11,0.53,18750,9867,20433,0.36,5429,3759,0.43,CollegeInSight_Explore_NM.csv
863,North Carolina - Public,2009-10,0.5,18845,9493,19290,0.34,5199,3252,0.44,CollegeInSight_Explore_NM.csv
864,North Carolina - Total,2016-17,0.57,26526,15120,,,,12172,,CollegeInSight_Explore_NM.csv
865,North Carolina - Total,2015-16,0.58,25562,14826,34529,0.46,6913,11769,0.48,CollegeInSight_Explore_NM.csv
866,North Carolina - Total,2014-15,0.62,25734,15911,36123,0.47,7186,11178,0.47,CollegeInSight_Explore_NM.csv
867,North Carolina - Total,2013-14,0.61,25263,15457,37473,0.48,6971,10590,0.47,CollegeInSight_Explore_NM.csv
868,North Carolina - Total,2012-13,0.61,24319,14924,37990,0.48,6795,9667,0.47,CollegeInSight_Explore_NM.csv
869,North Carolina - Total,2011-12,0.59,23891,14140,38345,0.49,6380,9333,0.46,CollegeInSight_Explore_NM.csv
870,North Carolina - Total,2010-11,0.56,20765,11541,37040,0.47,6178,8654,0.47,CollegeInSight_Explore_NM.csv
871,North Carolina - Total,2009-10,0.53,20959,11122,36051,0.44,6506,7854,0.47,CollegeInSight_Explore_NM.csv
872,"North Dakota - Private, for-profit",2016-17,,,,,,,9360,,CollegeInSight_Explore_NM.csv
873,"North Dakota - Private, for-profit",2015-16,,,,182,0.69,9860,9360,0.6,CollegeInSight_Explore_NM.csv
874,"North Dakota - Private, for-profit",2014-15,,,,163,0.65,8687,10764,0.56,CollegeInSight_Explore_NM.csv
875,"North Dakota - Private, for-profit",2013-14,,,,214,0.63,7980,10764,0.63,CollegeInSight_Explore_NM.csv
876,"North Dakota - Private, for-profit",2012-13,,,,192,0.55,8584,12650,0.62,CollegeInSight_Explore_NM.csv
877,"North Dakota - Private, for-profit",2011-12,,,,226,0.68,9066,12640,0.59,CollegeInSight_Explore_NM.csv
878,"North Dakota - Private, for-profit",2010-11,,,,309,0.78,9606,13560,0.67,CollegeInSight_Explore_NM.csv
879,"North Dakota - Private, for-profit",2009-10,,,,304,0.71,7823,13200,0.64,CollegeInSight_Explore_NM.csv
880,"North Dakota - Private, nonprofit",2016-17,,,,,,,14782,,CollegeInSight_Explore_NM.csv
881,"North Dakota - Private, nonprofit",2015-16,,,,504,0.56,8013,14698,0.41,CollegeInSight_Explore_NM.csv
882,"North Dakota - Private, nonprofit",2014-15,0.58,33936,19683,470,0.52,7643,13005,0.47,CollegeInSight_Explore_NM.csv
883,"North Dakota - Private, nonprofit",2013-14,,,,541,0.56,7153,13146,0.43,CollegeInSight_Explore_NM.csv
884,"North Dakota - Private, nonprofit",2012-13,,,,523,0.59,6816,12443,0.4,CollegeInSight_Explore_NM.csv
885,"North Dakota - Private, nonprofit",2011-12,0.81,28970,23466,489,0.55,6649,11611,0.43,CollegeInSight_Explore_NM.csv
886,"North Dakota - Private, nonprofit",2010-11,0.85,25750,21847,457,0.5,7052,10695,0.45,CollegeInSight_Explore_NM.csv
887,"North Dakota - Private, nonprofit",2009-10,0.8,25439,20281,489,0.52,7028,10107,0.39,CollegeInSight_Explore_NM.csv
888,North Dakota - Public,2016-17,,,,,,,6872,,CollegeInSight_Explore_NM.csv
889,North Dakota - Public,2015-16,,,,4336,0.59,8163,6733,0.49,CollegeInSight_Explore_NM.csv
890,North Dakota - Public,2014-15,,,,4349,0.6,7945,6559,0.48,CollegeInSight_Explore_NM.csv
891,North Dakota - Public,2013-14,,,,4329,0.58,7810,6320,0.49,CollegeInSight_Explore_NM.csv
892,North Dakota - Public,2012-13,,,,4766,0.61,7412,6190,0.48,CollegeInSight_Explore_NM.csv
893,North Dakota - Public,2011-12,,,,4935,0.63,7124,6034,0.47,CollegeInSight_Explore_NM.csv
894,North Dakota - Public,2010-11,0.83,28008,23162,4844,0.63,6855,5812,0.48,CollegeInSight_Explore_NM.csv
895,North Dakota - Public,2009-10,0.81,26655,21576,4749,0.64,7030,5625,0.46,CollegeInSight_Explore_NM.csv
896,North Dakota - Total,2016-17,,,,,,,7797,,CollegeInSight_Explore_NM.csv
897,North Dakota - Total,2015-16,,,,5022,0.59,8209,7568,0.49,CollegeInSight_Explore_NM.csv
898,North Dakota - Total,2014-15,,,,4982,0.59,7941,7330,0.48,CollegeInSight_Explore_NM.csv
899,North Dakota - Total,2013-14,,,,5084,0.58,7747,7112,0.49,CollegeInSight_Explore_NM.csv
900,North Dakota - Total,2012-13,,,,5481,0.61,7397,6842,0.48,CollegeInSight_Explore_NM.csv
901,North Dakota - Total,2011-12,,,,5650,0.63,7161,6627,0.47,CollegeInSight_Explore_NM.csv
902,North Dakota - Total,2010-11,0.83,27580,22918,5610,0.62,7023,6383,0.49,CollegeInSight_Explore_NM.csv
903,North Dakota - Total,2009-10,0.81,26429,21332,5542,0.63,7073,6202,0.46,CollegeInSight_Explore_NM.csv
904,"Ohio - Private, for-profit",2016-17,,,,,,,15347,,CollegeInSight_Explore_SD.csv
905,"Ohio - Private, for-profit",2015-16,,,,6118,0.78,7894,15593,0.52,CollegeInSight_Explore_SD.csv
906,"Ohio - Private, for-profit",2014-15,,,,7974,0.75,7525,15242,0.51,CollegeInSight_Explore_SD.csv
907,"Ohio - Private, for-profit",2013-14,,,,9350,0.76,8154,14623,0.56,CollegeInSight_Explore_SD.csv
908,"Ohio - Private, for-profit",2012-13,,,,9539,0.77,7756,14596,0.57,CollegeInSight_Explore_SD.csv
909,"Ohio - Private, for-profit",2011-12,,,,10254,0.78,7622,13800,0.58,CollegeInSight_Explore_SD.csv
910,"Ohio - Private, for-profit",2010-11,,,,14943,0.81,7937,13435,0.57,CollegeInSight_Explore_SD.csv
911,"Ohio - Private, for-profit",2009-10,,,,16860,0.76,7957,13952,0.58,CollegeInSight_Explore_SD.csv
912,"Ohio - Private, nonprofit",2016-17,0.63,34025,21436,,,,32661,,CollegeInSight_Explore_SD.csv
913,"Ohio - Private, nonprofit",2015-16,0.64,32574,20848,16005,0.69,7950,31814,0.63,CollegeInSight_Explore_SD.csv
914,"Ohio - Private, nonprofit",2014-15,0.7,32532,22739,16516,0.7,7956,30855,0.63,CollegeInSight_Explore_SD.csv
915,"Ohio - Private, nonprofit",2013-14,0.72,32679,23434,17258,0.73,7978,30214,0.63,CollegeInSight_Explore_SD.csv
916,"Ohio - Private, nonprofit",2012-13,0.74,32101,23768,17861,0.74,8190,29027,0.64,CollegeInSight_Explore_SD.csv
917,"Ohio - Private, nonprofit",2011-12,0.73,32389,23616,17924,0.76,7502,27676,0.65,CollegeInSight_Explore_SD.csv
918,"Ohio - Private, nonprofit",2010-11,0.75,32210,24171,17867,0.74,7384,26954,0.65,CollegeInSight_Explore_SD.csv
919,"Ohio - Private, nonprofit",2009-10,0.74,31183,23215,17031,0.73,7648,25722,0.64,CollegeInSight_Explore_SD.csv
920,Ohio - Public,2016-17,0.62,29465,18268,,,,8522,,CollegeInSight_Explore_SD.csv
921,Ohio - Public,2015-16,0.64,29651,18977,36133,0.54,6382,8558,0.46,CollegeInSight_Explore_SD.csv
922,Ohio - Public,2014-15,0.65,29436,19095,37878,0.56,6400,8307,0.46,CollegeInSight_Explore_SD.csv
923,Ohio - Public,2013-14,0.65,28146,18263,40915,0.58,6297,8070,0.45,CollegeInSight_Explore_SD.csv
924,Ohio - Public,2012-13,0.65,28010,18342,43631,0.6,6355,7849,0.44,CollegeInSight_Explore_SD.csv
925,Ohio - Public,2011-12,0.68,27990,18900,47481,0.62,6048,7446,0.44,CollegeInSight_Explore_SD.csv
926,Ohio - Public,2010-11,0.66,26881,17708,48918,0.59,5915,6980,0.45,CollegeInSight_Explore_SD.csv
927,Ohio - Public,2009-10,0.66,26175,17252,47621,0.57,5852,6523,0.45,CollegeInSight_Explore_SD.csv
928,Ohio - Total,2016-17,0.62,30629,18990,,,,14674,,CollegeInSight_Explore_SD.csv
929,Ohio - Total,2015-16,0.64,30351,19425,58256,0.6,6971,14719,0.5,CollegeInSight_Explore_SD.csv
930,Ohio - Total,2014-15,0.66,30239,19989,62368,0.61,6956,14358,0.5,CollegeInSight_Explore_SD.csv
